X	Y	Species	Type	Diam	Height
261.572	103.607	CADE	Adult	5.865	0
134.235	133.847	CADE	Adult	9.748	0
253.309	181.462	CADE	Adult	0.631	0
146.908	149.246	CADE	Adult	10.885	0
217.757	67.991	CADE	Adult	7.347	0
145.248	210.756	CADE	Adult	10.752	0
80.697	120.465	CADE	Adult	24.218	0
167.91	223.685	CADE	Adult	0.585	0
50.105	83.355	CADE	Adult	0.563	0
41.824	281.936	CADE	Adult	18.616	0
89.862	270.28	CADE	Adult	17.074	0
195.011	144.432	CADE	Adult	5.793	0
166.752	139.319	CADE	Adult	88.654	0
251.137	27.451	CADE	Adult	6.936	0
200.845	117.627	CADE	Adult	0.529	0
84.07	93.391	CADE	Adult	0.528	0
205.615	242.837	CADE	Adult	21.764	0
77.611	242.475	CADE	Adult	122.328	0
27.017	291.497	CADE	Adult	14.82	0
19.114	150.013	CADE	Adult	10.955	0
251.742	174.967	CADE	Adult	0.499	0
129.578	223.701	CADE	Adult	0.559	0
34.792	137.507	CADE	Adult	22.048	0
206.716	89.07	CADE	Adult	4.346	0
205.343	198.174	CADE	Adult	25.312	0
280.182	60.13	CADE	Adult	11.751	0
100.816	155.439	CADE	Adult	48.231	0
71.343	31.857	CADE	Adult	0.225	0
211.021	143.757	CADE	Adult	56.57	0
291.544	172.902	CADE	Adult	5.792	0
182.655	230.589	CADE	Adult	10.418	0
62.886	146.738	CADE	Adult	0.575	0
63.948	211.03	CADE	Adult	1.518	0
221.788	275.124	CADE	Adult	6.523	0
140.261	164.822	CADE	Adult	63.834	0
161.412	90.319	CADE	Adult	23.862	0
227.83	92.538	CADE	Adult	1.84	0
288.886	135.638	CADE	Adult	18.116	0
44.428	101.981	CADE	Adult	89.067	0
62.874	106.698	CADE	Adult	0.537	0
32.633	48.724	CADE	Adult	0.601	0
106.153	234.966	CADE	Adult	8.379	0
164.297	221.878	CADE	Adult	0.418	0
200.033	1.078	CADE	Adult	23.374	0
141.304	70.628	CADE	Adult	0.568	0
249.119	52.073	CADE	Adult	5.657	0
294.089	3.683	CADE	Adult	7.889	0
284.582	193.021	CADE	Adult	16.916	0
149.023	59.345	CADE	Adult	12.601	0
237.229	185.123	CADE	Adult	51.284	0
284.418	49.061	CADE	Adult	13.392	0
31.669	31.424	CADE	Adult	0.555	0
153.263	118.644	CADE	Adult	5.901	0
