X	Y	Species	Type	Diam
134.59	108.21	ABCO	Adult	11.33
5.04	152.75	ABCO	Adult	0.97
61.05	149	ABCO	Adult	27.05
248.44	30.16	ABCO	Adult	2.41
164.3	207.09	ABCO	Adult	0.31
128.82	44.77	ABCO	Adult	2.37
31.76	250.11	ABCO	Adult	15.03
141.3	155.17	ABCO	Adult	45.78
218.73	155.29	ABCO	Adult	15.87
107.27	107.51	ABCO	Adult	36.03
268.85	6.57	ABCO	Adult	4.42
232.17	202.9	ABCO	Adult	1.9
105.29	30.38	ABCO	Adult	4.21
18.04	229.59	ABCO	Adult	0.89
156.58	277.62	ABCO	Adult	4.38
72.71	122.81	ABCO	Adult	16.08
48.26	251.92	ABCO	Adult	7.87
115.87	261.71	ABCO	Adult	11.79
48.1	111.1	ABCO	Adult	10.87
116.55	178.14	ABCO	Adult	6.5
242.39	255.94	ABCO	Adult	3.6
49.74	132.39	ABCO	Adult	5.96
151.43	19.36	ABCO	Adult	40.97
126.56	232.98	ABCO	Adult	3.07
81.77	151.76	ABCO	Adult	10.08
16.16	260.33	ABCO	Adult	1.69
264.14	201.26	ABCO	Adult	19.15
273.78	174.45	ABCO	Adult	10.68
129.27	109.74	ABCO	Adult	3.7
240.78	7.18	ABCO	Adult	12.79
174.52	103.51	ABCO	Adult	11.46
199.48	190.25	ABCO	Adult	19.98
289.19	235.72	ABCO	Adult	2.17
280.61	116.49	ABCO	Adult	50.29
237.49	19.2	ABCO	Adult	1.39
172.65	112.5	ABCO	Adult	17.66
135.48	58.85	ABCO	Adult	3.5
227.94	227.66	ABCO	Adult	2.54
118.59	250.67	ABCO	Adult	26.39
154.65	104.16	ABCO	Adult	1.71
145.2	89.77	ABCO	Adult	3.72
234.56	139.35	ABCO	Adult	25.06
296.15	154.29	ABCO	Adult	8.15
256.14	77.54	ABCO	Adult	11.86
147.37	122.43	ABCO	Adult	1.63
153.95	44.85	ABCO	Adult	7.28
176.04	80.73	ABCO	Adult	3.9
181.75	98.26	ABCO	Adult	5.9
191.23	89.54	ABCO	Adult	11.42
245.25	194.75	ABCO	Adult	2.8
214.57	259.32	ABCO	Adult	11.01
26.05	257.9	ABCO	Adult	22.21
182.17	183.73	ABCO	Adult	2.55
270.32	198.77	ABCO	Adult	20.93
5.37	278.01	ABCO	Adult	3.7
81.17	167.32	ABCO	Adult	13.01
165.76	148.15	ABCO	Adult	12.73
93.28	204.64	ABCO	Adult	11.95
230.21	73.27	ABCO	Adult	8.95
140.71	275.97	ABCO	Adult	22.95
137.73	111.44	ABCO	Adult	7.13
122.73	89.75	ABCO	Adult	1.82
273.49	159.06	ABCO	Adult	4.71
169.35	175.83	ABCO	Adult	44.53
194.36	286.74	ABCO	Adult	4.86
69.15	216.03	ABCO	Adult	4.28
262.88	120.23	ABCO	Adult	3.03
193.04	98.49	ABCO	Adult	1.15
237.96	63.22	ABCO	Adult	3.51
159.28	110.52	ABCO	Adult	1.06
244.08	16.4	ABCO	Adult	5.1
188.13	98.65	ABCO	Adult	35.52
248.59	203.53	ABCO	Adult	8.48
160.34	244.85	ABCO	Adult	10.7
148.77	218.4	ABCO	Adult	3.66
217.12	146.37	ABCO	Adult	1.03
152.29	139.89	ABCO	Adult	13.9
50.7	152.8	ABCO	Adult	5.62
280.61	18.13	ABCO	Adult	1.44
225.39	73.07	ABCO	Adult	9.1
75.95	119.37	ABCO	Adult	15.34
142.51	154.09	ABCO	Adult	1.32
193.78	233.45	ABCO	Adult	2.67
185.79	31.97	ABCO	Adult	16.74
252.99	14.45	ABCO	Adult	1.78
17.76	118.06	ABCO	Adult	2.43
123.98	286.28	ABCO	Adult	7.71
160.89	83.39	ABCO	Adult	12.01
232.59	67.65	ABCO	Adult	21.87
139.7	69.49	ABCO	Adult	18.68
262.56	99.24	ABCO	Adult	8.63
151.1	288.89	ABCO	Adult	23.4
256.24	66.21	ABCO	Adult	7.38
114.82	118.14	ABCO	Adult	0.45
257.41	179.35	ABCO	Adult	15.53
284.81	269.31	ABCO	Adult	1.01
253.28	250.11	ABCO	Adult	35.75
31.11	215.65	ABCO	Adult	12.91
247.93	15.61	ABCO	Adult	4.35
123.72	263.59	ABCO	Adult	26.54
7.59	142.37	ABCO	Adult	19.88
187.93	7.31	ABCO	Adult	35.24
124.97	192.41	ABCO	Adult	11.97
246.86	224.22	ABCO	Adult	11.24
210.88	245.09	ABCO	Adult	73.81
138.42	186.54	ABCO	Adult	48.01
263.11	271.01	ABCO	Adult	2.22
17.3	168.75	ABCO	Adult	2.19
188.22	293.25	ABCO	Adult	9.35
271.7	202.72	ABCO	Adult	6.34
209.15	175.72	ABCO	Adult	5.53
16.56	202.04	ABCO	Adult	2.45
11.12	171.06	ABCO	Adult	5.54
274.33	182.09	ABCO	Adult	7.62
265.7	64.8	ABCO	Adult	7.23
24.26	215.96	ABCO	Adult	17.89
135.1	153.87	ABCO	Adult	5.41
24.92	253.31	ABCO	Adult	5.93
202.94	158.46	ABCO	Adult	0.37
139.36	146.85	ABCO	Adult	10.09
259.79	189.45	ABCO	Adult	2.19
291.57	160.89	ABCO	Adult	2.39
154.79	196.15	ABCO	Adult	12.93
286.07	130.87	ABCO	Adult	7.98
239.13	12.8	ABCO	Adult	3.69
6.57	225.25	ABCO	Adult	3.22
288.61	200.91	ABCO	Adult	89.64
169.33	120.66	ABCO	Adult	34.03
141.63	44.56	ABCO	Adult	28.07
12.89	236.85	ABCO	Adult	1.1
251.72	53.88	ABCO	Adult	3.64
287.02	160.39	ABCO	Adult	10.56
172.58	184.97	ABCO	Adult	10.65
142.88	270.5	ABCO	Adult	1.42
118.01	286.16	ABCO	Adult	15.86
235.9	142.38	ABCO	Adult	4.06
106.46	287.44	ABCO	Adult	4.33
278.82	237.69	ABCO	Adult	6.04
116.64	191.18	ABCO	Adult	5.74
108.47	51.71	ABCO	Adult	7.54
35.76	113.58	ABCO	Adult	10.65
124.24	222.54	ABCO	Adult	106.58
284.74	113.07	ABCO	Adult	1.02
26.99	294.5	ABCO	Adult	9.65
172	83.27	ABCO	Adult	7.2
78.67	101.31	ABCO	Adult	23.95
274.44	120.85	ABCO	Adult	24.28
143.85	294.66	ABCO	Adult	7.65
186.03	65.2	ABCO	Adult	3.5
193.31	91.49	ABCO	Adult	69.84
79.88	148.09	ABCO	Adult	41.6
184.51	160.12	ABCO	Adult	30.53
278.67	75.71	ABCO	Adult	2.84
195.55	25.94	ABCO	Adult	7.48
266.18	281.64	ABCO	Adult	12.15
174.33	48.71	ABCO	Adult	2.32
13.06	255.92	ABCO	Adult	33.33
151.87	75.95	ABCO	Adult	18.38
131.94	287.29	ABCO	Adult	0.77
242.38	253.05	ABCO	Adult	2.01
75.97	162.47	ABCO	Adult	3.76
253.69	267.4	ABCO	Adult	5.66
263.41	100.29	ABCO	Adult	5.41
152.88	198.82	ABCO	Adult	1.37
193.5	27.49	ABCO	Adult	7.02
22.14	233.07	ABCO	Adult	19.38
143.58	252.76	ABCO	Adult	4.57
16.59	175.77	ABCO	Adult	11.51
215.1	281.59	ABCO	Adult	6.63
227.84	156.79	ABCO	Adult	16.01
190.6	292.44	ABCO	Adult	10.58
249.35	114.61	ABCO	Adult	5.55
114.45	265.54	ABCO	Adult	11.87
175.82	242.26	ABCO	Adult	30.04
74.57	292.83	ABCO	Adult	1.44
191.13	120.14	ABCO	Adult	3.31
161.1	11.98	ABCO	Adult	6.89
182.97	298.4	ABCO	Adult	2.01
50.36	188.84	ABCO	Adult	3.43
111.46	244.15	ABCO	Adult	10.68
160.04	124.95	ABCO	Adult	1.39
249.99	27.82	ABCO	Adult	66.18
191.46	37.31	ABCO	Adult	6.69
166.47	215.45	ABCO	Adult	7.63
233.98	110.51	ABCO	Adult	6.13
193.11	239.52	ABCO	Adult	7.15
214.56	122.12	ABCO	Adult	5.24
178.65	175.92	ABCO	Adult	36.05
43.4	102.52	ABCO	Adult	10.28
68.58	215.65	ABCO	Adult	4.54
276.85	20.38	ABCO	Adult	17.35
27.11	274.8	ABCO	Adult	9.06
169.02	35.64	ABCO	Adult	18.5
141.04	172.71	ABCO	Adult	14.36
44.22	193.64	ABCO	Adult	3.78
156.15	81.9	ABCO	Adult	3.04
199.25	195.82	ABCO	Adult	30.09
128	74.2	ABCO	Adult	7.74
160.24	189.31	ABCO	Adult	12.04
191.44	179.77	ABCO	Adult	22.93
201.98	288.21	ABCO	Adult	3.78
268.36	36.38	ABCO	Adult	14.59
244.78	96.21	ABCO	Adult	10.89
273.53	166.14	ABCO	Adult	1.37
224.76	20.94	ABCO	Adult	0.46
153.8	171.29	ABCO	Adult	4.62
65.81	280.67	ABCO	Adult	26.93
86.72	174.64	ABCO	Adult	1.28
168.25	200.59	ABCO	Adult	1.29
113.25	140.84	ABCO	Adult	15.4
32.09	190.22	ABCO	Adult	13.91
135.84	281.08	ABCO	Adult	12.08
295.04	284.76	ABCO	Adult	3.08
160.35	206.56	ABCO	Adult	19.2
43.82	270.58	ABCO	Adult	5.18
225.52	19.76	ABCO	Adult	53.35
274.14	117.7	ABCO	Adult	24.06
142.13	241.22	ABCO	Adult	1.69
242.3	128.98	ABCO	Adult	6.37
215.16	14.09	ABCO	Adult	55.51
64.14	277.9	ABCO	Adult	40.68
172.32	276.63	ABCO	Adult	1.47
168.36	10.88	ABCO	Adult	2.34
295.06	102.3	ABCO	Adult	77.71
179.55	110.92	ABCO	Adult	19.03
204.92	215.93	ABCO	Adult	0.4
11.54	237.31	ABCO	Adult	44.59
151.44	37.52	ABCO	Adult	27.79
159.19	4.34	ABCO	Adult	9.04
209.25	134.71	ABCO	Adult	18.19
185.05	140.7	ABCO	Adult	26.93
4.82	130.7	ABCO	Adult	5.7
280.43	12.09	ABCO	Adult	20.39
21.67	244.96	ABCO	Adult	3.65
11.08	192.08	ABCO	Adult	3.23
214.43	198.28	ABCO	Adult	0.78
236.76	95.85	ABCO	Adult	1.05
97.79	283.81	ABCO	Adult	7.39
220.76	123.63	ABCO	Adult	7
251.66	253.46	ABCO	Adult	2.45
150.85	160.19	ABCO	Adult	8.08
254.05	0.99	ABCO	Adult	21.01
286.44	45.19	ABCO	Adult	275.17
138.95	199.71	ABCO	Adult	3.3
203.42	186.92	ABCO	Adult	9.84
19.35	242.01	ABCO	Adult	6.2
276.5	92.41	ABCO	Adult	1.86
166.76	229.22	ABCO	Adult	12.04
192.19	254.14	ABCO	Adult	87.98
254.2	140.34	ABCO	Adult	11
190.73	123.25	ABCO	Adult	9.02
264.47	42.07	ABCO	Adult	18.4
294.6	275.24	ABCO	Adult	1.26
177.21	182.77	ABCO	Adult	15.59
141.28	1.64	ABCO	Adult	4.75
202.24	66.79	ABCO	Adult	16.65
164.4	285.87	ABCO	Adult	7.86
243.7	113.23	ABCO	Adult	1.82
284.31	21.6	ABCO	Adult	8.31
154.71	145.92	ABCO	Adult	3.54
243.7	164.65	ABCO	Adult	38.75
98.5	156.21	ABCO	Adult	2.27
236.14	180.35	ABCO	Adult	39.25
280.93	92.78	ABCO	Adult	9.65
219.82	110.58	ABCO	Adult	7.04
105.05	247.48	ABCO	Adult	9.72
149.15	228.67	ABCO	Adult	9.84
267.63	37.19	ABCO	Adult	26.49
23.6	242.44	ABCO	Adult	5.18
135.46	269.27	ABCO	Adult	7.05
151.12	30.24	ABCO	Adult	2.04
241.43	175.73	ABCO	Adult	7.38
165.53	191.87	ABCO	Adult	1.73
281.04	114.25	ABCO	Adult	71.82
250.72	244.86	ABCO	Adult	21.95
156	59.38	ABCO	Adult	1.47
81.29	139.11	ABCO	Adult	2.67
21.38	125.08	ABCO	Adult	0.79
254.13	242.08	ABCO	Adult	3.49
199.76	20.9	ABCO	Adult	157.67
244.98	129.61	ABCO	Adult	0.96
204.75	12.79	ABCO	Adult	31.5
32.5	196.84	ABCO	Adult	7.64
72.41	212.98	ABCO	Adult	5.59
72.07	251.73	ABCO	Adult	56.6
81.57	224.33	ABCO	Adult	2.11
116.26	70.18	ABCO	Adult	3.63
289.4	59.57	ABCO	Adult	7.9
119.03	171.79	ABCO	Adult	4.46
12.62	152.63	ABCO	Adult	41.48
41.16	238.96	ABCO	Adult	3.03
166.3	156.66	ABCO	Adult	5.85
123.02	190.46	ABCO	Adult	0.74
41.86	104	ABCO	Adult	1.37
192.39	54.11	ABCO	Adult	9.92
282.89	230.76	ABCO	Adult	6.68
238.71	228.77	ABCO	Adult	4.55
153.8	179.3	ABCO	Adult	7.73
119.44	265.09	ABCO	Adult	3.73
222.56	43.05	ABCO	Adult	5.27
114.73	155.94	ABCO	Adult	4.26
210.15	261.76	ABCO	Adult	17.59
212.4	17.31	ABCO	Adult	20.72
281.16	294.13	ABCO	Adult	5.22
15.69	197.98	ABCO	Adult	4.4
208.9	280.67	ABCO	Adult	2.56
262.02	18.43	ABCO	Adult	24.52
209.92	262.58	ABCO	Adult	7.42
216.9	43.48	ABCO	Adult	17.54
22.02	147.49	ABCO	Adult	18.19
253.36	9.45	ABCO	Adult	2.8
107.66	43.21	ABCO	Adult	48.57
207.87	127.07	ABCO	Adult	12.38
180.83	79.14	ABCO	Adult	13.08
259.11	35.08	ABCO	Adult	1.87
182.9	192.85	ABCO	Adult	3
47.04	173.64	ABCO	Adult	29.43
234.52	189.95	ABCO	Adult	1.9
60.14	168.5	ABCO	Adult	39.85
166.9	8.92	ABCO	Adult	40.48
65.6	190.26	ABCO	Adult	2.8
163.83	67.58	ABCO	Adult	11.39
21.98	101.83	ABCO	Adult	2.96
273.99	174.43	ABCO	Adult	19.78
108.26	134.8	ABCO	Adult	7.83
39.49	156.53	ABCO	Adult	0.8
218.77	73.59	ABCO	Adult	11.4
246.09	258.08	ABCO	Adult	1.22
259.6	190.96	ABCO	Adult	6.2
167.36	130.8	ABCO	Adult	2.32
106.05	19.41	ABCO	Adult	0.77
198.19	122.54	ABCO	Adult	14.03
251.3	177.57	ABCO	Adult	0.48
126.37	93.34	ABCO	Adult	19.94
207.71	130.55	ABCO	Adult	4.41
68.06	192.87	ABCO	Adult	51.16
91.34	281.26	ABCO	Adult	7.23
268.32	2.87	ABCO	Adult	2
230.11	28.82	ABCO	Adult	37.74
50.71	179.81	ABCO	Adult	7.58
216.99	177.87	ABCO	Adult	19.86
209.37	186.97	ABCO	Adult	24.7
277.18	156.83	ABCO	Adult	37.25
100.79	105.44	ABCO	Adult	2.01
265.5	78.69	ABCO	Adult	4.52
51.65	146.88	ABCO	Adult	57.23
202.13	84.64	ABCO	Adult	6.18
257.16	224.79	ABCO	Adult	5.16
122.02	123.62	ABCO	Adult	5.43
32.11	117.61	ABCO	Adult	1.51
147.62	277.3	ABCO	Adult	4.63
212.29	192.48	ABCO	Adult	7.6
235.87	15.83	ABCO	Adult	7.5
225.93	241.16	ABCO	Adult	10.05
139.38	30.96	ABCO	Adult	2.96
113.06	142.89	ABCO	Adult	2.02
164.89	242.12	ABCO	Adult	21.98
49.29	243.33	ABCO	Adult	7.12
129.8	150.09	ABCO	Adult	6.91
48.06	231.07	ABCO	Adult	0.63
43.06	245.55	ABCO	Adult	8.61
9.02	136.12	ABCO	Adult	9.79
102.57	174.65	ABCO	Adult	4.37
238.42	257.61	ABCO	Adult	21.9
50.77	184.45	ABCO	Adult	1.74
227.79	10.77	ABCO	Adult	1.29
259.37	190.01	ABCO	Adult	1.38
286.76	258.18	ABCO	Adult	8.34
251.68	174.86	ABCO	Adult	11.88
65.97	148.45	ABCO	Adult	19.67
287.87	164	ABCO	Adult	32.69
125.55	32.52	ABCO	Adult	7.24
14.93	234.25	ABCO	Adult	24.68
225.5	36.78	ABCO	Adult	1.69
62.59	255.49	ABCO	Adult	2.87
200.05	268.3	ABCO	Adult	3.77
283.42	12.41	ABCO	Adult	15.15
271.53	186.41	ABCO	Adult	8.23
247.98	34.62	ABCO	Adult	0.83
37.46	109.08	ABCO	Adult	16.19
243.42	169.84	ABCO	Adult	3.86
162.25	165.55	ABCO	Adult	40.36
80.8	114.15	ABCO	Adult	1.58
173.22	193.33	ABCO	Adult	11.14
223.31	296.55	ABCO	Adult	2.9
164.46	108.64	ABCO	Adult	29.36
219.36	224.39	ABCO	Adult	11
56.92	280.79	ABCO	Adult	13.48
2.26	176.98	ABCO	Adult	6.06
119.45	11.75	ABCO	Adult	1.14
89.82	282.86	ABCO	Adult	19.4
167.28	254.34	ABCO	Adult	24.83
87.75	208.28	ABCO	Adult	14.03
141.08	232.64	ABCO	Adult	10.72
42.19	111.48	ABCO	Adult	2.29
66.69	135.35	ABCO	Adult	88.4
173.16	86.65	ABCO	Adult	11.65
58.08	184.56	ABCO	Adult	153.49
31.82	148.73	ABCO	Adult	12.27
253.86	280.07	ABCO	Adult	7.21
81.25	170.63	ABCO	Adult	3.65
284.31	25.81	ABCO	Adult	22.85
129.29	261.96	ABCO	Adult	16.25
26.06	276.82	ABCO	Adult	12.37
168.68	9.06	ABCO	Adult	36.7
207.47	113.65	ABCO	Adult	20.04
67.05	272.22	ABCO	Adult	23.68
220.23	118.55	ABCO	Adult	4.33
82.62	163.78	ABCO	Adult	1.23
159.05	208.43	ABCO	Adult	0.78
225.7	109.55	ABCO	Adult	5.33
40.49	289.16	ABCO	Adult	11.97
106.11	154.08	ABCO	Adult	4.33
237	58.66	ABCO	Adult	22.4
115.36	108.08	ABCO	Adult	57.23
81.18	166.98	ABCO	Adult	3.94
114.82	36.11	ABCO	Adult	7.83
120.51	74.95	ABCO	Adult	4.61
216.63	182.75	ABCO	Adult	16.32
167.1	278.72	ABCO	Adult	5.83
54.27	220.97	ABCO	Adult	36.25
288.02	121.08	ABCO	Adult	8.23
281.03	222.27	ABCO	Adult	5.86
211.34	74.15	ABCO	Adult	19.07
98.03	285.9	ABCO	Adult	13.97
151.69	13.37	ABCO	Adult	7.17
42.51	192.87	ABCO	Adult	2.9
73.27	217.52	ABCO	Adult	7.3
4.97	283.03	ABCO	Adult	12.83
12.72	242.24	ABCO	Adult	2.29
252.04	56.53	ABCO	Adult	113.46
152.84	269.33	ABCO	Adult	4.75
142.76	63.46	ABCO	Adult	4.09
23.79	275.63	ABCO	Adult	22.06
184.78	298.25	ABCO	Adult	7.49
166.63	118.39	ABCO	Adult	5.87
18.62	172	ABCO	Adult	9.66
191.09	276.64	ABCO	Adult	2.15
248.94	106.5	ABCO	Adult	26.83
155.53	86.08	ABCO	Adult	10.07
122.87	77.91	ABCO	Adult	27.63
204.25	271.8	ABCO	Adult	0.75
61.27	143.99	ABCO	Adult	15.36
86.7	111.78	ABCO	Adult	64.66
176.2	15.83	ABCO	Adult	8.83
145.13	129.13	ABCO	Adult	5.37
101.89	81.42	ABCO	Adult	31.33
286.33	289.67	ABCO	Adult	1.46
165.36	31.22	ABCO	Adult	4.88
136.04	145.31	ABCO	Adult	16.51
154.88	143.4	ABCO	Adult	7.87
292.96	185.85	ABCO	Adult	1.07
164.88	84.15	ABCO	Adult	2.38
72.95	146.37	ABCO	Adult	1.84
295.42	99.56	ABCO	Adult	0.44
283.75	33.15	ABCO	Adult	6.6
198.34	271.8	ABCO	Adult	5.06
165.83	62.51	ABCO	Adult	14.63
285.21	129.05	ABCO	Adult	5.4
67.64	248.85	ABCO	Adult	41.79
192.51	33.71	ABCO	Adult	12.96
147.45	234.67	ABCO	Adult	5.43
65.81	105.5	ABCO	Adult	6.42
246.92	87.94	ABCO	Adult	1.48
254.03	165.13	ABCO	Adult	67.73
135.22	173.76	ABCO	Adult	1.26
242.49	86.89	ABCO	Adult	3.32
192.37	103.32	ABCO	Adult	7.83
13.08	151.55	ABCO	Adult	7.37
160.48	185.06	ABCO	Adult	32.87
187.66	60.68	ABCO	Adult	3.48
68.47	263.97	ABCO	Adult	65.92
13.23	230.86	ABCO	Adult	13.59
32.21	224.22	ABCO	Adult	6.48
166.42	245.56	ABCO	Adult	7.06
160.03	107.28	ABCO	Adult	42.95
226.37	89.1	ABCO	Adult	1.27
284.7	151.37	ABCO	Adult	27.06
273.05	149.43	ABCO	Adult	21.88
65	201.82	ABCO	Adult	2.49
109.6	273.52	ABCO	Adult	6.5
153.85	50.76	ABCO	Adult	32.51
245.74	93.96	ABCO	Adult	4.56
234.13	173.38	ABCO	Adult	29.96
292	229.14	ABCO	Adult	0.95
74.23	297.59	ABCO	Adult	7.37
226.76	276.02	ABCO	Adult	4.86
158.16	50.95	ABCO	Adult	8.07
70.93	276.5	ABCO	Adult	0.61
0.11	226.85	ABCO	Adult	3.37
296.48	178.69	ABCO	Adult	59.35
2.9	267.27	ABCO	Adult	1.14
94.76	226.33	ABCO	Adult	9.12
108.7	35.68	ABCO	Adult	5.94
101.28	16.07	ABCO	Adult	4.1
54.92	149.71	ABCO	Adult	38.94
59.07	289.35	ABCO	Adult	1.87
157.54	84.68	ABCO	Adult	20.4
155.54	297.98	ABCO	Adult	15.36
203.57	243.31	ABCO	Adult	2.76
193.86	153.48	ABCO	Adult	2.74
269.81	142.13	ABCO	Adult	13.55
202.3	253.84	ABCO	Adult	15.43
67.67	114.72	ABCO	Adult	17.29
61.48	225.15	ABCO	Adult	1.3
21.91	251.19	ABCO	Adult	16.38
269.23	154.5	ABCO	Adult	30.52
295.05	121.38	ABCO	Adult	12.28
179.6	264.51	ABCO	Adult	23.8
148.36	170.25	ABCO	Adult	19.01
198.48	155.47	ABCO	Adult	2.76
10.53	290.36	ABCO	Adult	13.67
132.16	262.61	ABCO	Adult	0.93
12.34	111.73	ABCO	Adult	5.46
216.57	170.9	ABCO	Adult	1.31
64.22	138	ABCO	Adult	1.37
187.72	139.81	ABCO	Adult	15.55
267.23	87.79	ABCO	Adult	1.25
49.66	122.07	ABCO	Adult	12.85
218.7	159.46	ABCO	Adult	14.93
281.61	184.57	ABCO	Adult	5.14
35.38	275.59	ABCO	Adult	6.21
236.11	44.96	ABCO	Adult	3.27
83.72	129.2	ABCO	Adult	1.61
140.75	164.3	ABCO	Adult	11.63
174.15	136.34	ABCO	Adult	2.65
31.76	264.92	ABCO	Adult	5.01
282.38	276.62	ABCO	Adult	9.76
298.73	124.99	ABCO	Adult	73.79
222.65	64.22	ABCO	Adult	32.07
80.38	167.87	ABCO	Adult	23.39
8.21	193.57	ABCO	Adult	6.39
222.92	223.46	ABCO	Adult	3.14
138.34	115.13	ABCO	Adult	6.69
69.65	166.67	ABCO	Adult	5.76
194.72	201.85	ABCO	Adult	4.64
0.03	147.4	ABCO	Adult	13.87
125.63	164.99	ABCO	Adult	2.78
195.52	157.39	ABCO	Adult	14.18
266.63	252.01	ABCO	Adult	11.67
27.47	216.2	ABCO	Adult	11.9
82.9	106.84	ABCO	Adult	1.53
97.71	245.26	ABCO	Adult	6.99
162.87	220.12	ABCO	Adult	6.96
233.98	80.85	ABCO	Adult	10.41
2.09	269.08	ABCO	Adult	8.8
234.03	254.72	ABCO	Adult	31.14
201.58	285.53	ABCO	Adult	33.36
259.42	14.89	ABCO	Adult	54.48
237.07	18.25	ABCO	Adult	13.11
20.84	294.08	ABCO	Adult	1.58
233.44	37.06	ABCO	Adult	2.61
225.94	145.75	ABCO	Adult	8.06
279.68	283.94	ABCO	Adult	4.75
181.95	98.5	ABCO	Adult	2.86
222.22	226.11	ABCO	Adult	29.52
143.23	260.9	ABCO	Adult	8.91
