X	Y	Species	Type	Diam	Height
291.93	72.086	CADE	Adult	8.996	0
34.223	219.106	CADE	Adult	16.948	0
162.473	225.905	CADE	Adult	5.094	0
57.33	84.999	CADE	Adult	16.087	0
183.293	51.268	CADE	Adult	0.532	0
84.571	16.528	CADE	Adult	5.069	0
160.833	39.015	CADE	Adult	0.548	0
230.308	258.629	CADE	Adult	8.852	0
153.934	226.003	CADE	Adult	28.039	0
87.502	192.042	CADE	Adult	20.067	0
63.676	47.853	CADE	Adult	28.685	0
58.809	181.477	CADE	Adult	1.62	0
188.795	7.722	CADE	Adult	34.699	0
81.487	56.998	CADE	Adult	18.617	0
66.359	109.791	CADE	Adult	1.653	0
22.099	120.174	CADE	Adult	0.545	0
46.349	164	CADE	Adult	22.981	0
247.446	277.828	CADE	Adult	0.326	0
212.545	203.417	CADE	Adult	0.287	0
139.242	89.572	CADE	Adult	0.321	0
205.862	159.395	CADE	Adult	8.652	0
132.647	25.646	CADE	Adult	103.999	0
131.929	139.061	CADE	Adult	5.702	0
193.994	270.657	CADE	Adult	4.883	0
38.975	178.425	CADE	Adult	10.487	0
78.431	39.644	CADE	Adult	8.845	0
278.997	8.477	CADE	Adult	12.093	0
51.488	145.049	CADE	Adult	0.5	0
240.813	101.431	CADE	Adult	0.713	0
160.674	285.018	CADE	Adult	11.719	0
19.17	224.076	CADE	Adult	0.497	0
294.036	185.97	CADE	Adult	28.695	0
128.805	9.787	CADE	Adult	0.514	0
80.795	94.063	CADE	Adult	100.775	0
122.924	37.922	CADE	Adult	0.485	0
110.09	280.817	CADE	Adult	33.823	0
227.997	77.958	CADE	Adult	0.312	0
101.164	242.597	CADE	Adult	29.701	0
261.452	250.513	CADE	Adult	5.439	0
151.217	104.848	CADE	Adult	15.314	0
286.018	126.418	CADE	Adult	1.242	0
97.893	241.786	CADE	Adult	16.084	0
198.523	0.11	CADE	Adult	8.022	0
116.107	263.148	CADE	Adult	18.342	0
46.797	282.877	CADE	Adult	0.549	0
6.037	235.33	CADE	Adult	10.257	0
136.898	202.721	CADE	Adult	10.679	0
16.042	101.145	CADE	Adult	62.221	0
44.954	110.33	CADE	Adult	0.314	0
216.836	224.066	CADE	Adult	22.067	0
278.007	66.342	CADE	Adult	14.144	0
189.347	138.77	CADE	Adult	14.39	0
288.107	127.86	CADE	Adult	5.691	0
297.129	156.28	CADE	Adult	1.429	0
276.972	261.461	CADE	Adult	14.441	0
96.93	283.743	CADE	Adult	19.664	0
101.712	16.316	CADE	Adult	3.911	0
223.879	143.864	CADE	Adult	10.264	0
261.833	15.507	CADE	Adult	0.523	0
234.797	186.877	CADE	Adult	10.852	0
173.2	240.115	CADE	Adult	8.455	0
277.361	79.828	CADE	Adult	4.49	0
142.953	9.387	CADE	Adult	1.677	0
241.971	172.953	CADE	Adult	0.642	0
82.106	102.1	CADE	Adult	15.501	0
272.457	128.149	CADE	Adult	37.514	0
100.663	190.904	CADE	Adult	18.234	0
295.339	211.188	CADE	Adult	8.445	0
265.879	280.567	CADE	Adult	1.477	0
77.195	263.414	CADE	Adult	15.568	0
297.472	283.681	CADE	Adult	33.798	0
8.334	39.692	CADE	Adult	10.936	0
25.444	23.839	CADE	Adult	17.109	0
10.695	273.466	CADE	Adult	26.083	0
213.794	158.973	CADE	Adult	29.068	0
84.299	145.802	CADE	Adult	0.536	0
277.544	209.298	CADE	Adult	6.891	0
127.03	128.308	CADE	Adult	14.098	0
5.434	62.72	CADE	Adult	9.973	0
267.548	101.65	CADE	Adult	26.771	0
146.721	193.116	CADE	Adult	5.634	0
83.115	202.709	CADE	Adult	0.203	0
34.008	48.41	CADE	Adult	11.078	0
229.314	284.346	CADE	Adult	16.242	0
12.567	287.21	CADE	Adult	31.164	0
